iter	MultiClass
199	1.146266866
200	1.145592635
201	1.144843446
202	1.144090528
203	1.143289703
204	1.142669254
205	1.14185719
206	1.141307459
207	1.140449914
208	1.139994999
209	1.139457852
210	1.138636971
211	1.137841169
212	1.137146432
213	1.136417959
214	1.135586724
215	1.134659987
216	1.134045406
217	1.133514732
218	1.132700324
219	1.13199892
220	1.131647578
221	1.13067223
222	1.129746804
223	1.128990858
224	1.128323105
225	1.127700276
226	1.127126787
227	1.126276552
228	1.12574784
229	1.125209507
230	1.124415291
231	1.123740077
232	1.123268027
233	1.122749198
234	1.122083662
235	1.121556444
236	1.120768735
237	1.120182303
238	1.119634002
239	1.119039121
240	1.118205321
241	1.117662806
242	1.117103685
243	1.116598617
244	1.11603629
245	1.115617629
246	1.115039637
247	1.114542983
248	1.11380423
249	1.113282421
250	1.112758025
251	1.112236122
252	1.11183976
253	1.111308488
254	1.110932088
255	1.110623954
256	1.109951441
257	1.109235942
258	1.108663609
259	1.10805527
260	1.107498719
261	1.10712981
262	1.106517942
263	1.10581114
264	1.105312209
265	1.104599707
266	1.104055122
267	1.103607317
268	1.103123428
269	1.102664074
270	1.102107287
271	1.101718853
272	1.101293493
273	1.10096911
274	1.100444199
275	1.100071715
276	1.099543664
277	1.098928975
278	1.098548887
279	1.0981221
280	1.09763972
281	1.097122512
282	1.09639484
283	1.095938802
284	1.095438348
285	1.094973975
286	1.094455964
287	1.094003762
288	1.093462356
289	1.092944396
290	1.092575984
291	1.092099908
292	1.091554404
293	1.09092258
294	1.090356273
295	1.089851614
296	1.089315002
297	1.088780801
298	1.088479591
299	1.088021499
300	1.087372156
301	1.086854091
302	1.086445114
303	1.085984142
304	1.085211223
305	1.084779586
306	1.084494818
307	1.084016836
308	1.083644864
309	1.082943216
310	1.082426671
311	1.081782408
312	1.081131687
313	1.080707675
314	1.080253148
315	1.079818599
316	1.079491789
317	1.079000628
318	1.078472909
319	1.077973305
320	1.077406965
321	1.076966779
322	1.076219341
323	1.075749988
324	1.075339662
325	1.075047392
326	1.074771433
327	1.074364173
328	1.073884048
329	1.073456429
330	1.072923785
331	1.072665551
332	1.072211106
333	1.071827611
334	1.071407251
335	1.070939403
336	1.07058756
337	1.07004299
338	1.069565064
339	1.069162583
340	1.068766182
341	1.068383321
342	1.067923991
343	1.067445862
344	1.066786574
345	1.066406946
346	1.066161347
347	1.065750663
348	1.065372717
349	1.064975433
350	1.064396092
351	1.063998488
352	1.063679124
353	1.063172518
354	1.062684533
355	1.062376328
356	1.061861724
357	1.06138412
358	1.060977927
359	1.060468608
360	1.060095868
361	1.059798852
362	1.059297972
363	1.059004679
364	1.058493308
365	1.0580118
366	1.057697336
367	1.057232208
368	1.056738755
369	1.056215073
370	1.055693982
371	1.055266301
372	1.054674389
373	1.054335951
374	1.053920415
375	1.053598549
376	1.053293605
377	1.052853797
378	1.052527006
379	1.052302395
380	1.051710042
381	1.051364246
382	1.051019709
383	1.050715791
384	1.050350221
385	1.049937451
386	1.049706612
387	1.049318159
388	1.048890289
389	1.048409721
390	1.048120339
391	1.047832713
392	1.047434905
393	1.046923549
394	1.046575817
395	1.046271113
396	1.045908921
397	1.045498853
398	1.045088306
399	1.044766327
400	1.044468328
401	1.04422835
402	1.043933496
403	1.043506754
404	1.043273335
405	1.042867315
406	1.042420105
407	1.042199044
408	1.04179873
409	1.041411583
410	1.040960934
411	1.040507605
412	1.040295248
413	1.039711321
414	1.039381557
415	1.039109319
416	1.03878533
417	1.038370886
418	1.0379858
419	1.037781355
420	1.037246261
421	1.036827227
422	1.036520886
423	1.036236136
424	1.036044174
425	1.035675189
426	1.035305153
427	1.03462397
428	1.034386573
429	1.034071897
430	1.033758804
431	1.033287272
432	1.032920379
433	1.032388421
434	1.03185918
435	1.031567975
436	1.031222427
437	1.030850194
438	1.030674893
439	1.030092738
440	1.029706012
441	1.029326529
442	1.029020969
443	1.028683429
444	1.028260339
445	1.028011492
446	1.027601187
447	1.027070814
448	1.026680275
449	1.026460674
450	1.026113324
451	1.025650526
452	1.024967554
453	1.024748187
454	1.024405053
455	1.0240696
456	1.023797569
457	1.02318512
458	1.022775216
459	1.022513649
460	1.022088226
461	1.021729969
462	1.021401787
463	1.021013421
464	1.020774316
465	1.020399485
466	1.019878489
467	1.019634136
468	1.019220066
469	1.018955173
470	1.018473306
471	1.018333808
472	1.017951545
473	1.017799004
474	1.017460914
475	1.017127149
476	1.016675304
477	1.016459812
478	1.016172519
479	1.015901679
480	1.015620285
481	1.015238849
482	1.01499655
483	1.014701801
484	1.0144989
485	1.014099574
486	1.01393589
487	1.01366816
488	1.013299674
489	1.012996241
490	1.012883983
491	1.012503464
492	1.01213508
493	1.011944515
494	1.011572829
495	1.011361689
496	1.01097612
497	1.010655867
498	1.010373106
499	1.009888461
500	1.009532064
501	1.009074622
502	1.008799503
503	1.008424217
504	1.008013761
505	1.007539428
506	1.007190252
507	1.006847485
508	1.006547431
509	1.006086572
510	1.005764322
511	1.005522865
512	1.005281687
513	1.005048373
514	1.004764907
515	1.00444921
516	1.004222679
517	1.003909191
518	1.003634848
519	1.003488134
520	1.003105895
521	1.002769536
522	1.002507515
523	1.00211669
524	1.001797696
525	1.001468686
526	1.001026471
527	1.00072615
528	1.000455491
529	1.000079318
530	0.9997692419
531	0.9995024524
532	0.9991665341
533	0.9987906655
534	0.9985245123
535	0.998241975
536	0.9980371318
537	0.9976636285
538	0.9973246711
539	0.9969374913
540	0.9965113148
541	0.9962899954
542	0.9961228223
543	0.99580604
544	0.9954515026
545	0.9950699825
546	0.9948141304
547	0.9945042352
548	0.9942432203
549	0.9940396362
550	0.9937690024
551	0.99333413
552	0.9931250201
553	0.9928240689
554	0.9924410005
555	0.9921880662
556	0.9919503634
557	0.9917158491
558	0.9914276506
559	0.9910764336
560	0.9907024975
561	0.9904732239
562	0.9901546595
563	0.9899071504
564	0.9896125779
565	0.9893444941
566	0.9889932047
567	0.9887292354
568	0.9885995786
569	0.9881941558
570	0.9880161793
571	0.9878058978
572	0.9874189276
573	0.9870885479
574	0.986892262
575	0.9865773056
576	0.9863106294
577	0.985948587
578	0.9855889594
579	0.9851570938
580	0.9848570069
581	0.98464249
582	0.9844587951
583	0.9840934121
584	0.9837782248
585	0.983397659
586	0.9832177537
587	0.9830648914
588	0.9828913717
589	0.982590006
590	0.9820817954
591	0.9817406926
592	0.9813975983
593	0.9810389161
594	0.9807346803
595	0.9805051869
596	0.9802144176
597	0.9800413343
598	0.97964474
599	0.9794404116
600	0.9792731821
601	0.9789780472
602	0.9786892605
603	0.9785100701
604	0.9782970176
605	0.9779120942
606	0.9774742877
607	0.9772975365
608	0.9770097327
609	0.9767154532
610	0.976449255
611	0.9760110385
612	0.9757658841
613	0.9754632537
614	0.9751918445
615	0.9748846115
616	0.974434478
617	0.9741662695
618	0.9737035273
619	0.9734433104
620	0.9730791608
621	0.9728608101
622	0.9725507284
623	0.972367006
624	0.971889996
625	0.9716510048
626	0.9712364196
627	0.9709461745
628	0.9706169532
629	0.970392633
630	0.9701286651
631	0.9698679196
632	0.9696374278
633	0.9694070969
634	0.9692441509
635	0.9687814478
636	0.9682112513
637	0.9678829575
638	0.9675203778
639	0.9672899886
640	0.9671665448
641	0.9669374194
642	0.9667096551
643	0.9664754852
644	0.9661875057
645	0.9658501369
646	0.9654969981
647	0.9650653541
648	0.9648627291
649	0.9645851398
650	0.964338144
651	0.9639114313
652	0.9634169941
653	0.963158169
654	0.962763492
655	0.9624945544
656	0.9622059589
657	0.9620090087
658	0.9618272096
659	0.9614765586
660	0.9612349392
661	0.9609281014
662	0.9606551748
663	0.9604510578
664	0.9602099948
665	0.9598679148
666	0.9595153317
667	0.959333868
668	0.9591315183
669	0.9588106842
670	0.9585970851
671	0.9583259194
672	0.9581355913
673	0.9579123264
674	0.9574992307
675	0.9573019115
676	0.9570709811
677	0.9568853261
678	0.9566797635
679	0.9564825452
680	0.9561451293
681	0.9559123509
682	0.9556073781
683	0.9553932343
684	0.9551442437
685	0.9548779171
686	0.9545551655
687	0.9542312414
688	0.9540134878
689	0.9538930326
690	0.9535862968
691	0.953339142
692	0.953032222
693	0.9527410714
694	0.952355839
695	0.9520715772
696	0.9517768761
697	0.9514997303
698	0.9511995733
699	0.950833413
700	0.9505512175
701	0.9503851718
702	0.9501667559
703	0.9497597332
704	0.9494822504
705	0.9491832943
706	0.9488800148
707	0.948604248
708	0.9482673274
709	0.9480190256
710	0.9476302642
711	0.947310172
712	0.9469930918
713	0.9468067082
714	0.9464903303
715	0.9461069491
716	0.945834504
717	0.9456762665
718	0.9452068415
719	0.9449752032
720	0.944507134
721	0.9442412141
722	0.9440484096
723	0.9437552913
724	0.9434738741
725	0.9433245611
726	0.943131561
727	0.9428615528
728	0.9426446691
729	0.9423773491
730	0.9421358639
731	0.9419479012
732	0.9418180492
733	0.9413773391
734	0.9410479151
735	0.9406270067
736	0.9403639821
737	0.9400694419
738	0.939847694
739	0.9393618662
740	0.9390190203
741	0.9386921875
742	0.938294584
743	0.9379509226
744	0.9377498901
745	0.9374840687
746	0.9371874987
747	0.9369156862
748	0.936715841
749	0.9365492471
750	0.9363533577
751	0.9360122961
752	0.9357399221
753	0.9354595623
754	0.9351869487
755	0.9349773797
756	0.9347482976
757	0.9345098358
758	0.9340517959
759	0.9337578414
760	0.9335034136
761	0.9333308878
762	0.9329222399
763	0.9327483583
764	0.9325710189
765	0.932363011
766	0.9320403148
767	0.9317440734
768	0.9314353259
769	0.9311852623
770	0.9309157033
771	0.9306131022
772	0.9303652893
773	0.9301396108
774	0.9298108052
775	0.9296196348
776	0.9293654045
777	0.9291328493
778	0.9289366025
779	0.9287951344
780	0.9285078334
781	0.9283147606
782	0.9280116704
783	0.9276632271
784	0.9272414271
785	0.9270827262
786	0.9268599737
787	0.9266854691
788	0.9264718613
789	0.9261961907
790	0.9258305683
791	0.9255433042
792	0.9253733398
793	0.9251554554
794	0.9249514958
795	0.9246268428
796	0.9244014927
797	0.9240034331
798	0.9238539877
799	0.9236650894
800	0.9234892542
801	0.923289788
802	0.923086878
803	0.9228908982
804	0.9224811257
805	0.9222292527
806	0.9219704532
807	0.9216183021
808	0.9214485725
809	0.9212147907
810	0.9209113634
811	0.92080404
812	0.9205278739
813	0.9201303531
814	0.9199096242
815	0.9196776659
816	0.9194532743
817	0.9192644027
818	0.9190196338
819	0.9187411032
820	0.9184343672
821	0.9182045894
822	0.9179224475
823	0.9177135579
824	0.917240522
825	0.9169355077
826	0.9166871925
827	0.9165110387
828	0.9163248785
829	0.9159194432
830	0.9157393116
831	0.9154346435
832	0.9151005665
833	0.9149264652
834	0.9146313915
835	0.9144146225
836	0.9140888492
837	0.913823342
838	0.9135196715
839	0.9131903822
840	0.9128036444
841	0.912530913
842	0.9121661052
843	0.9119980849
844	0.9117796343
845	0.9115733509
846	0.9113472941
847	0.9111080012
848	0.9110234175
849	0.910810309
850	0.9104908985
851	0.9100745708
852	0.9097243193
853	0.909339954
854	0.9091346472
855	0.9087757352
856	0.9086464993
857	0.9085122469
858	0.9082744331
859	0.9079776201
860	0.9078245276
861	0.9075223831
862	0.9071709694
863	0.9069299475
864	0.9066764333
865	0.9065068333
866	0.9062801155
867	0.9061655139
868	0.9059274564
869	0.9055482295
870	0.9053441468
871	0.9050289873
872	0.9047912494
873	0.9046004397
874	0.9043721309
875	0.9041727882
876	0.9037993078
877	0.9034370042
878	0.9033090439
879	0.9030319562
880	0.9026808585
881	0.9023810175
882	0.90219243
883	0.9020053461
884	0.9017204979
885	0.9015243118
886	0.9012772046
887	0.9009510382
888	0.9007047137
889	0.9002363548
890	0.8998971233
891	0.8996482228
892	0.8994599445
893	0.8991846248
894	0.8988421523
895	0.8986038129
896	0.8984350648
897	0.8981242212
898	0.897909407
899	0.8976306714
900	0.8973960769
901	0.8969861708
902	0.8967778709
903	0.896616209
904	0.8963814484
905	0.8961555115
906	0.8958217489
907	0.8953991967
908	0.8953108204
909	0.895132633
910	0.8948046458
911	0.8946133165
912	0.8941647499
913	0.8940007727
914	0.8936953984
915	0.8934580386
916	0.8930001909
917	0.8927774714
918	0.8924776868
919	0.8923607301
920	0.8920761171
921	0.8918206601
922	0.8915374421
923	0.8912639899
924	0.8909993964
925	0.8907670585
926	0.8905369146
927	0.8902926732
928	0.8900676952
929	0.889834463
930	0.8895843209
931	0.8893875206
932	0.8891023848
933	0.8888336104
934	0.8884951151
935	0.8881720506
936	0.8878737187
937	0.887645732
938	0.8874760273
939	0.8872858452
940	0.8870176909
941	0.8868588766
942	0.8866193235
943	0.8862648927
944	0.8860537018
945	0.8859110026
946	0.8854890129
947	0.8852310899
948	0.8849870797
949	0.8847939354
950	0.8845752387
951	0.884354983
952	0.8841558682
953	0.883890848
954	0.8835441116
955	0.8833035313
956	0.8830039027
957	0.8828789519
958	0.8825420332
959	0.8822507266
960	0.8818294346
961	0.8815874234
962	0.8814095739
963	0.8810119043
964	0.8807156249
965	0.8804498597
966	0.8801996772
967	0.8800647074
968	0.8797671387
969	0.8794494349
970	0.879302617
971	0.8790525399
972	0.8788449305
973	0.8785443065
974	0.8783013344
975	0.8780254157
976	0.87776135
977	0.8774848087
978	0.8772182361
979	0.8769680427
980	0.8767502363
981	0.8765788552
982	0.8762985331
983	0.8760752536
984	0.87578213
985	0.8754753393
986	0.8752076528
987	0.8750012627
988	0.8748394203
989	0.8744924082
990	0.8743877103
991	0.8742590344
992	0.8741045747
993	0.8739745869
994	0.873722321
995	0.8735445854
996	0.8732074537
997	0.8729304997
998	0.8726392683
999	0.8724831928
1000	0.8722057922
1001	0.8721029923
1002	0.8718580204
1003	0.8716532058
1004	0.8714772279
1005	0.8713023029
1006	0.8710225858
1007	0.8707437922
1008	0.8705046133
1009	0.8703003053
1010	0.870086277
1011	0.8698724457
1012	0.8696742841
1013	0.8694387094
1014	0.8692846038
1015	0.8690441336
1016	0.868748254
1017	0.868525469
1018	0.8683647447
1019	0.8681090387
1020	0.8678139998
1021	0.8675520432
1022	0.8672859379
1023	0.8670637955
1024	0.8667847215
1025	0.8664497694
1026	0.8661761178
1027	0.8659344211
1028	0.8656131238
1029	0.865327779
1030	0.8651121287
1031	0.8649501687
1032	0.8647283584
1033	0.864538129
1034	0.8643931845
1035	0.8641022651
1036	0.8638476593
1037	0.8636839323
1038	0.8634608613
1039	0.8631233209
1040	0.8629089833
1041	0.8628153253
1042	0.8626026673
1043	0.8623448655
1044	0.8621631921
1045	0.8619572954
1046	0.8616998775
1047	0.861524613
1048	0.8612471344
1049	0.8609512069
1050	0.8606868755
1051	0.8604791603
1052	0.860173661
1053	0.8598473899
1054	0.8596378556
1055	0.8594272531
1056	0.85930495
1057	0.8590011782
1058	0.8586963037
1059	0.8584182345
1060	0.858134343
1061	0.8579366948
1062	0.8577724126
1063	0.8575855874
1064	0.8574376901
1065	0.8571763319
1066	0.8569830154
1067	0.8567869522
1068	0.8566049265
1069	0.8564522273
1070	0.856287261
1071	0.8561727708
1072	0.8558670677
1073	0.8557254833
1074	0.8552976064
1075	0.8551205699
1076	0.854935287
1077	0.8547202567
1078	0.854522845
1079	0.8541876001
1080	0.8540569152
1081	0.8538520643
1082	0.8537269528
1083	0.8534821993
1084	0.8531170071
1085	0.8529943679
1086	0.8528480069
1087	0.852579041
1088	0.8523232453
1089	0.8522595216
1090	0.8520161095
1091	0.8518057517
